topic_id,position_id,position_en,position_short_en,position_de,position_short_de
0,0,No public statement of support recorded,No public statement of support recorded,Keine öffentliche Unterstützung dokumentiert,Keine öffentliche Unterstützung dokumentiert
0,1,Publicly expressed willingness to explore the option of a new global agreement on plastic pollution,Agreed to consider option of agreement,"{isSingle, select, true {Hat} false {Haben}} sich öffentlich bereit erklärt, die Möglichkeiten eines neuen globalen Abkommens zur Plastikvershmutzung auszuloten","{isSingle, select, true {Hat} false {Haben}} sich bereit erklärt, Möglichkeit eines Abkommens in Betracht zu ziehen"
0,2,Publicly called for the negotiation of a new global agreement on plastic pollution,Publicly called for new agreement,"{isSingle, select, true {Hat} false {Haben}} öffentlich die Ausarbeitung eines neuen globalen Abkommens zur Plastikvershmutzung gefordert","{isSingle, select, true {Hat} false {Haben}} öffentlich ein neues Abkommen gefordert"
0,3,Co-sponsored the draft resolution by Peru and Rwanda,Co-sponsored the draft resolution by Peru and Rwanda,"{isSingle, select, true {Hat} false {Haben}} den Resolutionsentwurfs von Peru und Ruanda mitgetragen","{isSingle, select, true {Hat} false {Haben}} den Resolutionsentwurfs von Peru und Ruanda mitgetragen"
0,4,Adopted UNEA-5.2 Resolution to start negotiating a legally binding global agreement,Adopted UNEA-5.2 Resolution,"{isSingle, select, true {Hat} false {Haben}} Resolution UNEA-5.2 zur Aufnahme von Verhandlungen zu einem rechtsverbindlichen globalen Abkommen angenommen","{isSingle, select, true {Hat} false {Haben}} Resolution UNEA-5.2 angenommen"
MINPROD,-1,Have not expressed support for global bans and phase-outs in latest statement on the topic,No support recorded in latest statement,Keine Unterstützung für globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema,Keine Unterstützung in jüngster Erklärung
MINPROD,0,Have not expressed support for global bans and phase-outs in latest statement on the topic,No support recorded in latest statement,Keine Unterstützung für globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema,Keine Unterstützung in jüngster Erklärung
MINPROD,1,Supported global bans and phase-out requirements in latest statement on the topic,Supported global bans and phase-outs,"{isSingle, select, true {Unterstützt} false {Unterstützen}} globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} globale Verbote und Auslaufregelungen"
MINPROD,2,Supported global bans and phase-out requirements in latest statement on the topic,Supported global bans and phase-outs,"{isSingle, select, true {Unterstützt} false {Unterstützen}} globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} globale Verbote und Auslaufregelungen"
MINPROD,3,Called for global bans and phase-out requirements in latest statement on the topic,Called for global bans and phase-outs,"{isSingle, select, true {Fordert} false {Fordern}} globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema","{isSingle, select, true {Fordert} false {Fordern}} globale Verbote und Auslaufregelungen"
MINPROD,4,Called for global bans and phase-out requirements in latest statement on the topic,Called for global bans and phase-outs,"{isSingle, select, true {Fordert} false {Fordern}} globale Verbote und Auslaufregeln in jüngster Erklärung zum Thema","{isSingle, select, true {Fordert} false {Fordern}} globale Verbote und Auslaufregelungen"
MINLKG,-1,Have not expressed support for global requirements on plastic circularity in latest statement on the topic,No support recorded in latest statement,Keine Unterstützung für globale Anforderungen für eine Plastik-Kreislaufwirtschaft in jüngster Erklärung zum Thema,Keine Unterstützung in jüngster Erklärung
MINLKG,0,Have not expressed support for global requirements on plastic circularity in latest statement on the topic,No support recorded in latest statement,Keine Unterstützung für globale Anforderungen für eine Plastik-Kreislaufwirtschaft in jüngster Erklärung zum Thema,Keine Unterstützung in jüngster Erklärung
