project_id,project_title_en,project_title_de,project_info_en,project_info_de,project_link_en,project_link_de,image_url,image_attribution_en,image_attribution_de,project_lead,
1,Ghostnets,Geisternetze,"Lost fishing gear is one of the most harmful, and most common, types of marine litter. WWF Germany developed a methodology to locate lost fishing gear and retrieve ghost gear in environmentally friendly way. Sonar technology helps to scan the seafloor without impact, and retrieval with professional divers and cranes is crucial for safety. In 2019, WWF Germany developed the ""Ghostdiver App"" where sports divers can report lost fishing gear they encounter at sea. This methodology was presented to state authorities of the German coastal states to foster political implementation and regular retrievals of lost fishing gear at the German Baltic Coast. __  WWF Germany searches for lost fishing gear around the island of Rügen in Mecklenburg-Western Pommerania, the Bays of Kiel and Lübeck in Schleswig-Holstein, and will start lost gear searches in the German North Sea in 2021. ","Verlorengegangene Fanggeräte machen einen großen und besonders problematischen Teil des Meeresmülls aus. WWF Deutschland hat eine Methode entwickelt, um verloren gegangenes Fischereigerät zu lokalisieren und Geisternetze auf umweltverträgliche Weise zu bergen. Mithilfe von Sonartechnologie wird der Meeresgrund ohne schädliche Auswirkungen abgescannt. Für eine sichere Bergung der Netze und Fanggeräte werden professionelle Taucher und spezielle Kräne eingesetzt. 2019 hat WWF Deutschland die „Ghostdiver App“ entwickelt, über die Sporttaucher verloren gegangene Fanggeräte melden können, die sie auf ihren Tauchgängen entdecken. Diese Methode wurde den Behörden der deutschen Küstenländer vorgelegt, um eine politische Umsetzung des Projektes zu fördern und regelmäßige Bergungsaktionen von verlorenen gegangenen Fanggeräten an der deutschen Ostseeküste zu ermöglichen. Bisher führt WWF Deutschland die Suche nach verlorenen gegangenem Fischereigerät rund um die Insel Rügen in Mecklenburg-Vorpommern sowie in der Kieler und Lübecker Bucht in Schleswig-Holstein durch. 2021 wird die Suchregion auf die deutsche Nordsee ausgeweitet.",http://wwf.de/geisternetze,,https://plasticnavigator.wwf.de/assets/uploads/P_Ghostnets-WWF.jpg,"Christian Howe, WWF Germany","Christian Howe, WWF Deutschland","WWF Projektbüro Ostsee, Jochen Lamp",https://drive.google.com/file/d/1yCNPwk9QiDp7q6GcX2ylhzd8P8dWsILz/view?usp=sharing
2,Circular Plastics Economy ,,"WWF works with stakeholders across the plastics value chain in South Africa to ensure that plastic is produced and used in a sustainable manner to ensure both environmental and human health. WWF works to accelerate the transition from the inefficient and wasteful linear economy to a circular economy for plastics in South Africa, in which virgin plastic consumption is reduced, the value of plastic is retained in the economy for as long as possible, and no plastic leaks into nature, resulting in multiple environmental and socio-economic benefits.  __  We do this by: __ - Supporting the development and implementation of effective national policy and regulations according to circular economy principles, specifically the mandatory extended producer responsibility for plastic waste; __  - Advocating for a new global treaty to address plastic pollution; __  - Shifting market practices to reduce virgin plastic consumption and move towards a circular plastic economy through product innovation for reuse, recycling and new product delivery models; __  - Conducting research to support global best practices for product and packaging design, certification and labelling  guidelines; and  __  - Sharing our learnings with local and regional partners.","Der WWF arbeitet in Südafrika mit Stakeholdern über die gesamte Plastik-Wertschöpfungskette hinweg zusammen, um sicherzustellen, dass dort Plastik zum Schutz für die menschliche Gesundheit und Umwelt auf nachhaltige Weise produziert und verwendet wird. Dabei setzen wir uns dafür ein, den Übergang von der ineffizienten und verschwenderischen linearen Wirtschaft zu einer Kreislaufwirtschaft für Plastik zu beschleunigen. Ziel ist es, den Verbrauch von neuen Kunststoffen zu reduzieren, Plastik so lange wie möglich im Wirtschaftskreislauf zu halten und den Eintrag von Plastik in die Natur zu verhindern – mit zahlreichen ökologischen und soziökonomischen Vorteilen. Unser Engagement in Südafrika: - Wir fördern die Gestaltung und Umsetzung einer effektiven nationalen Politik und effektiver nationaler Regelungen nach den Prinzipien der Kreislaufwirtschaft, insbesondere im Hinblick auf die erforderliche Ausweitung der Herstellerverantwortung beim Thema Plastikmülll; - wir setzen uns für ein globales Plastikmüll-Abkommen ein; - wir beteiligen uns an der neuen Ausrichtung von Marktpraktiken, um den Verbrauch von neuem Kunststoff zu reduzieren und mithilfe von Produktinnovationen für die Wiederverwendung, das Recycling und neue Modelle für den Produktversand den Übergang zu einer Kreislaufwirtschaft für Plastik zu fördern; - wir führen Studien durch, um globale Best Practices für die Themen Produkt- und Verpackungsdesign sowie Maßgaben zu Zertifizierung und Kennzeichnung zu fördern; - wir teilen unsere Erkenntnisse mit lokalen und regionalen Partnern.",https://www.wwf.org.za/our_work/initiatives/the_circular_plastics_economy.cfm,,,,,Lorren de Kock (WWF South Africa),
3,Marine Litter-Free Porto Santo,,The objetive of the project is to establish a foundation for a thorough understanding of the plastic ecosystem of Porto Santo Island by:  __  - identifying flow and disposal of waste;  __  - optimizing waste management;  __  - and drastically reducing consumption of single use plastics,"Das Ziel des Projektes besteht darin, durch folgende Maßnahmen eine Grundlage für ein umfassendes Verständnis des Ökosystems der Insel Porto Santo zu schaffen: - Identifizieren der Materialflüsse und Entsorgungswege für Plastikmüll; - Optimierung des Müllmanagements; - und eine drastische Reduzierung des Verbrauchs von Einweg-Plastik.",,,,,,Catarina Grilo (ANP|WWF Portugal),
4,Solutions and alternatives to single-use plastics,,"Single-use plastics are the most common form of marine litter in Australia. To transition away from single-use plastics, WWF-Australia is working on a project that highlights sustainable solutions and policy levers for governments to address the most problematic single-use plastics.","In Australien ist Einweg-Plastik die häufigste Art von Meeresmüll. WWF Australien arbeitet an einem Projekt, das nachhaltige Lösungen und politische Instrumente für Regierungen aufzeigt, um einen Wandel weg von Einweg-Plastik zu ermöglichen und die dringliche Problematik gezielt anzugehen.",,,https://plasticnavigator.wwf.de/assets/uploads/P_Plastic-Solutions_WWF.jpg,WWF Australia,WWF Australien,Katinka Day (WWF - Australia),https://drive.google.com/file/d/18LsL_yULRYRtpB8Y3m3JTmMKrUcIgITw/view?usp=sharing
5,Extended Producer Responsibility,,"Mobilize governments in targeted countries to incorporate EPR into legal framework, and facilitate multi-national and local companies to take responsibility for end-of-life impacts of their products and packaging  __  Overall focus countries: Malaysia, Philippines, Singapore, Thailand, Vietnam, Indonesia (and soon Kenya, South Africa and India)  __  Coordinated from WWF Berlin office","Materialflussanalyse für 7 verschiedene Plastikarten, durchgeführt für Malaysia, die Philippinen, Thailand (und bald Vietnam). Schwerpunktländer insgesamt: Indien, Malaysia, Philippinen, Singapur, Thailand, Vietnam (und bald Kenia, Südafrika und Indien). Koordination durch das WWF Büro Berlin.",https://wwf.panda.org/?356332/Extended-Producer-Responsibility-Project,,https://plasticnavigator.wwf.de/assets/uploads/P_Extended-Producer-Responsibility_WWF.jpg,,,Xin (Vivian) Chen (WWF Germany),https://drive.google.com/file/d/1zc-LOOcq7H_ntcS9lGSzoMs1xGYnkXwa/view?usp=sharing
6,Lost Fishing Gear,,"The effort was to test if we could retrieve nets from the fjord and recycle/reuse the plastic. We worked with the local government to ship nets to Plastix in Denmark, where the nets were recycled into new, green plastic products. We have a small film illustrating the project:  __ - [A Greener Future](https://youtu.be/Tp7OBUtUpyM)","Wir wollten testen, ob es möglich ist, Kunststoffnetze aus dem Fjord zu bergen und diese zu recyceln und wiederzuverwerten. Zu diesem Zweck haben wir mit der lokalen Regierung zusammengearbeitet, um Netze zu Plastix in Dänemark zu verschiffen, wo der Netzmüll recycelt und zu neuen, grünen Plastikprodukten verarbeitet wurde. Wir haben zwei kurze Filme, die das Projekt dokumentieren: - https://we.tl/t-RXeLySGzdh  __  - https://youtu.be/Tp7OBUtUpyM",,,https://plasticnavigator.wwf.de/assets/uploads/P_Lost-Fishing-Gear_WWF.jpg,"Kaare Winther Hansen, WWF Greenland","Kaare Winther Hansen, WWF Grönland",Kaare Winther (WWF Denmark),https://drive.google.com/file/d/1evD9hW0EhB831G1n3pJYiyC7dq6Af-h8/view?usp=sharing
7,Plastic Smart Cities,,WWF invites cities to commit to ambitious plastic pollution targets in line with WWF’s No Plastic in Nature vision and to develop and disseminate Plastic Smart Action best practices.,"WWF lädt Städte dazu ein, sich – im Einklang mit der Vision des WWF -  Plastikeinträge in die Natur zu stoppen, ehrgeizigen Zielen zur Bekämpfung von Plastikverschmutzung zu verschreiben und im Rahmen der Initiative „Plastic Smart Action“  Best Practices zu entwickeln und zu teilen. ",http://www.plasticsmartcities.org/,,https://plasticnavigator.wwf.de/assets/uploads/P_PlasticSmartCities_WWF.jpg,WWF Turkey,WWF Türkei,,https://drive.google.com/file/d/19mny1L0ATZYoMWD1MLpSZTudAhj5TWfM/view?usp=sharing
8,PACT,,"Plastic ACTion (PACT) is a business initiative, by WWF-Singapore, which aims to eliminate plastic pollution in nature and ultimately move towards a circular economy on plastics.  __  We engage with businesses via sectoral collaborations, or individual company commitments.  __  nder sectoral collaborations, companies engage in pre-competitive actions to reduce plastic use on an industry-wide scale.  __  Under individual company commitments, companies sign time-bound, numerical commitments to reduce their plastic usage.  __  PACT also provides resources and tools for businesses, such as the Alternative Materials Tool (AMT). The AMT is a webtool for procurement teams of F&B & Hospitality industries, to guide them on selecting the single-use packaging material with the least environmental impacts.","Plastic Action (PACT) ist eine Business-Initiative von WWF Singapur, die zum Ziel hat, Plastikeinträge in die Umwelt zu stoppen und eine Kreislaufwirtschaft für Plastik zu etablieren. Hierfür setzen wir uns in Form von sektoralen Kooperationen und Einzelvereinbarungen mit Unternehmen ein. Bei sektoralen Kooperationen verpflichten sich die Unternehmen zu vorwettbewerblichen Maßnahmen, um die Verwendung von Plastik branchenweit zu reduzieren. Im Rahmen von Einzelvereinbarungen unterzeichnen die Unternehmen Verpflichtungen mit zeitgebundenen und numerischen Zielen zur Reduzierung ihres Plastikaufkommens. Darüber hinaus stellt PACT den Unternehmen auch Ressourcen und Tools – wie das Alternative Materials Tool (AMT) – zur Verfügung. AMT ist ein Webtool für Teams der F&B- und Hospitality-Branche und unterstützt diese dabei, Einweg-Verpackungsmaterialien mit den geringsten Auswirkungen auf die Umwelt auszuwählen.",http://plastic-action.asia/,,https://plasticnavigator.wwf.de/assets/uploads/P_PACT_2_WWF.jpg,WWF Singapore,WWF Singapur,Stefanie Beitien (WWF Singapore),https://drive.google.com/file/d/1hDuaXM6Q3d26LiujvOnLpD1eRqsfoszX/view?usp=sharing
10,Princes' Islands Zero Waste Pilot Project (2019-2021),,"In alignment with WWF Marine Mediterranean Initiative (MMI), WWF-Turkey is implementing a 3-year project at the Princes' Islands of Istanbul-Turkey, advocating to governments, working with industry, engaging with municipalities and mobilizing people to ensure no more plastic enters the sea by 2030. This project seeks to implement communication activities at the local and national level aimed at raising awareness on plastic pollution and thus mobilize the society towards the reduction of single use plastics consumption.","WWF Türkei führt auf den Prinzeninseln vor Istanbul, Türkei, ein 3-jähriges Projekt durch, das im Einklang mit der Marine Mediterranean Initiative (MMI) von WWF steht und dazu beitragen soll, dass ab 2030 kein Plastik mehr im Meer landet. Dafür setzt sich der WWF im Rahmen des Projektes gegenüber Regierungen ein, arbeitet mit der Industrie zusammen, engagiert sich für Gemeinden und mobilisiert die Bevölkerung. Mithilfe von Kommunikationsaktivitäten auf lokaler und nationaler Ebene soll das Bewusstsein für das Thema Plastikverschmutzung gestärkt und die Gesellschaft mobilisiert werden, die Verwendung von Einweg-Plastik zu reduzieren.",http://zerowaste.gov.tr/,,,,,,
11,Plastic Hunters (2020-2021),,"The project implemented by WWF-Turkey and Brand Conference, aims to reduce the amount of plastic waste generated and increase the recycling rate of plastics at the districts of Besiktas and Üsküdar (two of the biggest central sub-provinces), Istanbul with the support of Brand Conference.","Das gemeinsame Projekt von WWF Türkei und der Brand Conference hat zum Ziel, die Menge an Plastikmüll zu reduzieren und die Recyclingrate von Plastik in Besiktas und Üsküdar – zwei der größten Landkreise der Provinz Istanbul –, mit Unterstützung der Brand Conference zu erhöhen.",http://www.markaconference.com/plastikavcilari,,https://plasticnavigator.wwf.de/assets/uploads/P_PlasticHunters_WWF.jpg,WWF Turkey,WWF Türkei,,https://drive.google.com/file/d/1YBpTfmCe-u2Rvq8qE8QXqMFuovg9-sEd/view?usp=sharing
