from,to,from_iso,to_iso,value
8478,8478,AGO,AGO,7.751
8478,8393,AGO,BEN,0.058864
8478,8404,AGO,BHS,0.019336
8478,8457,AGO,BLZ,0.00025667
8478,8418,AGO,BRB,0.13475
8478,8493,AGO,CAN,0.0060746
8478,8473,AGO,CIV,0.25548
8478,8475,AGO,CMR,4.6867
8478,8477,AGO,COD,0.20551
8478,8394,AGO,COG,0.64391
8478,8426,AGO,COL,0.019422
8478,8362,AGO,CPV,0.015144
8478,8406,AGO,CUB,0.068789
8478,8409,AGO,DOM,0.11516
8478,5677,AGO,FRA,0.082991
8478,8476,AGO,GAB,2.5479
8478,5696,AGO,GBR,0.49059
8478,8400,AGO,GHA,0.36165
8478,8472,AGO,GIN,0.074264
8478,33177,AGO,GLP,0.031143
8478,8370,AGO,GMB,0.00042779
8478,8471,AGO,GNB,0.019678
8478,8398,AGO,GNQ,2.7345
8478,8460,AGO,GUY,0.060147
8478,8427,AGO,HND,0.02293
8478,8408,AGO,HTI,0.058522
8478,8459,AGO,JAM,0.043891
8478,8391,AGO,LBR,0.34001
8478,8429,AGO,MEX,0.019764
8478,33178,AGO,MTQ,0.028919
8478,8395,AGO,NAM,0.00034223
8478,8474,AGO,NGA,0.88073
8478,8425,AGO,NIC,0.014716
8478,5668,AGO,NLD,0.021475
8478,33179,AGO,PRI,0.072125
8478,5688,AGO,PRT,0.0017967
8478,8371,AGO,SEN,0.0041068
8478,8390,AGO,SLE,0.2133
8478,8461,AGO,SUR,0.076489
8478,8392,AGO,TGO,0.027122
8478,8420,AGO,TTO,0.041752
8478,8467,AGO,URY,0.0025667
8478,8456,AGO,USA,0.15315
8478,8433,AGO,VEN,0.2014
8478,8464,AGO,BRA,3.1741
5670,5670,ALB,ALB,1.6456
5670,8376,ALB,CYP,0.043549
5670,8490,ALB,EGY,1.3582
5670,5679,ALB,GRC,3.7002
5670,5673,ALB,HRV,6.9069
5670,8357,ALB,ISR,0.1937
5670,5682,ALB,ITA,10.544
5670,8374,ALB,LBN,0.052875
5670,8372,ALB,LBY,4.2676
5670,5685,ALB,MLT,0.17394
5670,8373,ALB,SYR,0.021475
5670,8366,ALB,TUN,0.090178
5670,5697,ALB,TUR,0.050907
8466,8466,ARG,ARG,1.2595
8466,5696,ARG,GBR,0.55801
8466,8395,ARG,NAM,0.0017967
8466,8467,ARG,URY,0.51078
8466,8396,ARG,ZAF,0.0077858
8466,8464,ARG,BRA,0.1724
8323,8323,AUS,AUS,3.933
8323,8325,AUS,FJI,0.038929
8323,8312,AUS,NCL,0.18361
8323,8455,AUS,NZL,0.8027
8323,8313,AUS,VUT,0.010352
8393,8393,BEN,BEN,0.7719
8393,8473,BEN,CIV,0.035335
8393,8475,BEN,CMR,0.46509
8393,8400,BEN,GHA,0.52558
8393,8398,BEN,GNQ,0.047741
8393,8474,BEN,NGA,11.573
8393,8392,BEN,TGO,0.16145
8481,8481,BGD,BGD,74.793
8481,8492,BGD,IDN,0.26694
8481,8480,BGD,IND,55.476
8481,8346,BGD,LKA,0.35258
8481,8345,BGD,MDV,0.0051335
8481,8482,BGD,MMR,66.32
8481,8343,BGD,MUS,0.00034223
8481,8483,BGD,MYS,0.050222
8481,8332,BGD,THA,1.0531
5672,5672,BGR,BGR,3.0308
5672,5678,BGR,GEO,0.67941
5672,5689,BGR,ROU,0.59232
5672,5690,BGR,RUS,1.1253
5672,5697,BGR,TUR,7.3416
5672,5695,BGR,UKR,1.4114
8358,8360,BHR,ARE,0.036619
8358,8358,BHR,BHR,0.11653
8358,8468,BHR,QAT,1.1745
8358,8356,BHR,SAU,0.51959
8404,8404,BHS,BHS,0.2174
8404,8493,BHS,CAN,0.0031656
8404,8406,BHS,CUB,0.0068446
8404,5696,BHS,GBR,0.073665
8404,5681,BHS,IRL,8.56E-05
8404,8456,BHS,USA,0.083419
22491,5670,BIH,ALB,0.23161
22491,8376,BIH,CYP,0.00051335
22491,8490,BIH,EGY,0.1493
22491,5679,BIH,GRC,0.70414
22491,5673,BIH,HRV,3.9108
22491,8357,BIH,ISR,0.013176
22491,5682,BIH,ITA,4.606
22491,8374,BIH,LBN,0.011037
22491,8372,BIH,LBY,0.56639
22491,5685,BIH,MLT,0.041153
22491,8373,BIH,SYR,0.0020534
22491,8366,BIH,TUN,0.0089836
8457,8404,BLZ,BHS,0.011123
8457,8457,BLZ,BLZ,0.38843
8457,8406,BLZ,CUB,0.0005989
8457,8430,BLZ,GTM,0.2524
8457,8427,BLZ,HND,0.202
8457,8429,BLZ,MEX,0.039528
8457,8456,BLZ,USA,0.068617
8464,8466,BRA,ARG,1.035
8464,8393,BRA,BEN,0.00077
8464,8404,BRA,BHS,0.72365
8464,8457,BRA,BLZ,0.012748
8464,8418,BRA,BRB,1.2315
8464,8493,BRA,CAN,0.020021
8464,8473,BRA,CIV,0.0051335
8464,8475,BRA,CMR,0.52669
8464,8426,BRA,COL,0.13723
8464,8362,BRA,CPV,0.010352
8464,8424,BRA,CRI,0.0041068
8464,8406,BRA,CUB,1.2545
8464,8409,BRA,DOM,1.2922
8464,5693,BRA,ESP,0.0008556
8464,5677,BRA,FRA,0.81828
8464,8476,BRA,GAB,0.0002567
8464,5696,BRA,GBR,8.0364
8464,8400,BRA,GHA,0.013775
